,Id,Token
0,0,دانشگاه
1,1,آزاد
2,2,اسلامی
3,3,واحد
4,4,کرج
5,5,از
6,6,ویکیپدیا
7,7,،
8,8,دانشنامهٔ
9,9,آزاد
10,10,پرش
11,11,به
12,12,ناوبری
13,13,پرش
14,14,به
15,15,جستجو
16,16,دانشگاه
17,17,آزاد
18,18,اسلامی
19,19,واحد
20,20,کرج
21,21,دانشگاه
22,22,آزاد
23,23,اسلامی
24,24,آرمان
25,25,ایرانی
26,26,برای
27,27,جهانی
28,28,شدن
29,29,مشخصات
30,30,واحد
31,31,بنیانگذاری
32,32,۱۳۶۳
33,33,شهر
34,34,کرج
35,35,ریٔیس
36,36,محمد
37,37,حسن
38,38,برهانی
39,39,فر
40,40,معاون
41,41,آموزشی
42,42,حسن
43,43,شوندی
44,44,معاون
45,45,پژوهشی
46,46,سید
47,47,حامد
48,48,ثابت
49,49,معاون
50,50,دانشجویی
51,51,ابراهیم
52,52,اکبری
53,53,هییٔت
54,54,علمی
55,55,۷۰۰
56,56,(
57,57,در
58,58,کل
59,59,استان
60,60,البرز
61,61,)
62,62,کارمندان
63,63,۹۰۰
64,64,(
65,65,در
66,66,کل
67,67,استان
68,68,البرز
69,69,)
70,70,دانشجویان
71,71,۴۵۰۰۰
72,72,(
73,73,در
74,74,کل
75,75,استان
76,76,البرز
77,77,)
78,78,کاردانی
79,79,۵۰۰۰
80,80,کارشناسی
81,81,۳۰۰۰۰
82,82,تحصیلات
83,83,تکمیلی
84,84,۱۰۰۰۰
85,85,کارشناسی
86,86,ارشد
87,87,۹۰۰۰
88,88,دکترا
89,89,۱۰۰۰
90,90,دانشآموختگان
91,91,۸۰۰۰۰
92,92,(
93,93,در
94,94,کل
95,95,استان
96,96,البرز
97,97,)
98,98,فضای
99,99,آموزشی
100,100,۴۷
101,101,هکتار
102,102,نوع
103,103,واحد
104,104,جامع
105,105,الف
106,106,منطقه
107,107,شهری
108,108,وبگاه
109,109,نمایی
110,110,از
111,111,یکی
112,112,از
113,113,خیابانها
114,114,و
115,115,مسجد
116,116,دانشگاه
117,117,آزاد
118,118,اسلامی
119,119,واحد
120,120,کرج
121,121,مختصات
122,122,:
123,123,۳۵
124,124,°
125,125,۵۱
126,126,′
127,127,۲۵
128,128,′′شمالی
129,129,۵۰
130,130,°
131,131,۵۹
132,132,′
133,133,۱۸
134,134,′′شرقی
135,135,/
136,136,۳۵
137,137,٫
138,138,۸۵۶۹
139,139,°شمالی
140,140,۵۰
141,141,٫
142,142,۹۸۸۲
143,143,°شرقی
144,144,/
145,145,۳۵
146,146,٫
147,147,۸۵۶۹
148,148,;
149,149,۵۰
150,150,٫
151,151,۹۸۸۲
152,152,دانشگاه
153,153,آزاد
154,154,اسلامی
155,155,واحد
156,156,کرج
157,157,دانشگاهی
158,158,غیردولتی
159,159,در
160,160,کرج
161,161,،
162,162,استان
163,163,البرز
164,164,است
165,165,.
166,166,این
167,167,واحد
168,168,دانشگاه
169,169,آزاد
170,170,اسلامی
171,171,در
172,172,شمال
173,173,شرقی
174,174,گوهردشت
175,175,و
176,176,در
177,177,دامنه
178,178,کوه
179,179,پایههای
180,180,البرز
181,181,قرار
182,182,دارد
183,183,.
184,184,حدود
185,185,۴۵
186,186,هزار
187,187,دانشجو
188,188,در
189,189,دانشگاه
190,190,آزاد
191,191,اسلامی
192,192,استان
193,193,البرز
194,194,مشغول
195,195,به
196,196,تحصیل
197,197,میباشند
198,198,که
199,199,بهطور
200,200,میانگین
201,201,روزانه
202,202,۵۰۰۰
203,203,دانشجو
204,204,در
205,205,مجتمع
206,206,اصلی
207,207,دانشگاه
208,208,حضور
209,209,دارند
210,210,.
211,211,۷۰۰
212,212,عضو
213,213,هییٔت
214,214,علمی
215,215,و
216,216,۹۰۰
217,217,کارمند
218,218,در
219,219,بخشهای
220,220,مختلف
221,221,دانشگاه
222,222,به
223,223,کار
224,224,اشتغال
225,225,دارند
226,226,و
227,227,نزدیک
228,228,به
229,229,۸۰۰۰۰
230,230,دانشجو
231,231,از
232,232,این
233,233,واحد
234,234,دانش
235,235,آموخته
236,236,شدهاند
237,237,.
238,238,حضور
239,239,استادان
240,240,برتر
241,241,کشور
242,242,،
243,243,ایجاد
244,244,مراکز
245,245,پژوهشی
246,246,و
247,247,آزمایشگاههای
248,248,تخصصی
249,249,؛
250,250,این
251,251,دانشگاه
252,252,را
253,253,جزو
254,254,واحدهای
255,255,برتر
256,256,دانشگاههای
257,257,آزاد
258,258,اسلامی
259,259,کشور
260,260,قرار
261,261,دادهاست
262,262,.
263,263,واحد
264,264,کرج
265,265,دارای
266,266,رتبه
267,267,جامع
268,268,الف
269,269,است
270,270,.
271,271,دانشگاه
272,272,آزاد
273,273,اسلامی
274,274,استان
275,275,البرز
276,276,با
277,277,دارا
278,278,بودن
279,279,۴۵
280,280,هزار
281,281,دانشجو
282,282,و
283,283,فضاهای
284,284,مناسب
285,285,آموزشی
286,286,و
287,287,پژوهشی
288,288,،
289,289,توانسته
290,290,در
291,291,نظام
292,292,رتبهبندی
293,293,سایماگو
294,294,در
295,295,بین
296,296,دانشگاه‌های
297,297,کشور
298,298,رتبه
299,299,۴۳
300,300,و
301,301,در
302,302,بین
303,303,واحدهای
304,304,دانشگاه
305,305,آزاد
306,306,اسلامی
307,307,رتبه
308,308,سوم
309,309,را
310,310,کسب
311,311,کند
312,312,.
313,313,[
314,314,۱
315,315,]
316,316,محتویات
317,317,۱
318,318,پیشینه
319,319,۲
320,320,دانشکدهها
321,321,،
322,322,مراکز
323,323,و
324,324,گروههای
325,325,آموزشی
326,326,مستقل
327,327,واحد
328,328,کرج
329,329,۳
330,330,رشتهها
331,331,،
332,332,گرایش‌ها
333,333,و
334,334,مقاطع
335,335,تحصیلی
336,336,۳٫۱
337,337,دکتری
338,338,تخصصی
339,339,۳٫۲
340,340,دکتری
341,341,حرفهای
342,342,۳٫۳
343,343,کارشناسی
344,344,ارشد
345,345,۳٫۴
346,346,کارشناسی
347,347,پیوسته
348,348,۳٫۵
349,349,کارشناسی
350,350,ناپیوسته
351,351,۳٫۶
352,352,کاردانی
353,353,ناپیوسته
354,354,۳٫۷
355,355,کاردانی
356,356,پیوسته
357,357,۴
358,358,امکانات
359,359,آموزشی
360,360,۴٫۱
361,361,کارگاهها
362,362,و
363,363,آزمایشگاهها
364,364,۴٫۲
365,365,کتابخانهها
366,366,۴٫۳
367,367,سایت
368,368,رایانهای
369,369,۴٫۴
370,370,لابراتوارهای
371,371,زبان
372,372,انگلیسی
373,373,و
374,374,عربی
375,375,۵
376,376,فعالیتهای
377,377,فوقبرنامه
378,378,۶
379,379,فعالیتهای
380,380,پژوهشی
381,381,۶٫۱
382,382,انجمنهای
383,383,علمی
384,384,،
385,385,فرهنگی
386,386,،
387,387,هنری
388,388,۶٫۲
389,389,نشریات
390,390,دانشجویی
391,391,واحد
392,392,کرج
393,393,۶٫۳
394,394,باشگاه
395,395,پژوهشگران
396,396,جوان
397,397,۶٫۴
398,398,سمینارهای
399,399,علمی
400,400,۷
401,401,تسهیلات
402,402,رفاهی
403,403,۷٫۱
404,404,مرکز
405,405,مشاوره
406,406,دانشجویی
407,407,۷٫۲
408,408,وام
409,409,دانشجویی
410,410,۷٫۳
411,411,درمانگاه
412,412,سیدالشهدا
413,413,۷٫۴
414,414,اتوبوسهای
415,415,رایگان
416,416,داخل
417,417,مجتمع
418,418,۷٫۵
419,419,تور
420,420,مجازی
421,421,دانشگاه
422,422,آزاد
423,423,اسلامی
424,424,واحد
425,425,کرج
426,426,۸
427,427,مدارس
428,428,سما
429,429,وابسته
430,430,به
431,431,دانشگاه
432,432,۹
433,433,اماکن
434,434,فرهنگی
435,435,،
436,436,ورزشی
437,437,و
438,438,رفاهی
439,439,۹٫۱
440,440,سالنهای
441,441,اجتماعات
442,442,۹٫۲
443,443,سالنهای
444,444,غذاخوری
445,445,و
446,446,بوفهها
447,447,۹٫۳
448,448,آلاچیق
449,449,و
450,450,پارک
451,451,جنگلی
452,452,۹٫۴
453,453,امکانات
454,454,ورزشی
455,455,۱۰
456,456,منابع
457,457,۱۱
458,458,پیوند
459,459,به
460,460,بیرون
461,461,پیشینه
462,462,دانشگاه
463,463,آزاد
464,464,اسلامی
465,465,واحد
466,466,کرج
467,467,در
468,468,سال
469,469,۱۳۶۳
470,470,با
471,471,تلاش
472,472,استادان
473,473,و
474,474,کارکنان
475,475,خود
476,476,و
477,477,بدون
478,478,کمک
479,479,مالی
480,480,از
481,481,جانب
482,482,نهادهای
483,483,دولتی
484,484,،
485,485,تنها
486,486,با
487,487,تکیه
488,488,بر
489,489,شهریههای
490,490,دانشجویان
491,491,تأسیس
492,492,شد
493,493,و
494,494,کار
495,495,خود
496,496,را
497,497,با
498,498,۷
499,499,رشته
500,500,تحصیلی
501,501,و
502,502,استفاده
503,503,از
504,504,۲۵
505,505,مدرس
506,506,حقالتدریسی
507,507,و
508,508,۵۰۰
509,509,دانشجو
510,510,در
511,511,باغی
512,512,در
513,513,سه
514,514,راه
515,515,عظیمیه
516,516,(
517,517,که
518,518,اینک
519,519,آموزشکده
520,520,سما
521,521,خواهران
522,522,است
523,523,)
524,524,آغاز
525,525,کرد
526,526,.
527,527,دانشکدهها
528,528,،
529,529,مراکز
530,530,و
531,531,گروههای
532,532,آموزشی
533,533,مستقل
534,534,واحد
535,535,کرج
536,536,دانشگاه
537,537,آزاد
538,538,اسلامی
539,539,واحد
540,540,کرج
541,541,دارای
542,542,۱۲
543,543,دانشکده
544,544,و
545,545,۱
546,546,آموزشکده
547,547,فنی
548,548,و
549,549,حرفهای
550,550,سما
551,551,است
552,552,که
553,553,عبارتند
554,554,از
555,555,:
556,556,۱.
557,557,ادبیات
558,558,و
559,559,علوم
560,560,انسانی
561,561,۲.
562,562,الهیات
563,563,و
564,564,معارف
565,565,اسلامی
566,566,۳.
567,567,روانشناسی
568,568,و
569,569,علوم
570,570,تربیتی
571,571,۴.
572,572,تربیت
573,573,بدنی
574,574,و
575,575,علوم
576,576,ورزشی
577,577,۵.
578,578,مدیریت
579,579,و
580,580,حسابداری
581,581,۶.
582,582,حقوق
583,583,و
584,584,علوم
585,585,سیاسی
586,586,۷.
587,587,پرستاری
588,588,و
589,589,مامایی
590,590,۸.
591,591,دامپزشکی
592,592,۹.
593,593,کشاورزی
594,594,و
595,595,منابع
596,596,طبیعی
597,597,۱۰.
598,598,علوم
599,599,۱۱.
600,600,فنی
601,601,و
602,602,مهندسی
603,603,۱۲.
604,604,مکاترونیک
605,605,رشتهها
606,606,،
607,607,گرایش‌ها
608,608,و
609,609,مقاطع
610,610,تحصیلی
611,611,دانشگاه
612,612,آزاد
613,613,اسلامی
614,614,استان
615,615,البرز
616,616,(
617,617,واحد
618,618,کرج
619,619,،
620,620,سما
621,621,،
622,622,نظرآباد
623,623,و
624,624,هشتگرد
625,625,)
626,626,دارای
627,627,۲۵۰
628,628,رشته
629,629,و
630,630,گرایش
631,631,تحصیلی
632,632,در
633,633,مقاطع
634,634,دکتری
635,635,تخصصی
636,636,،
637,637,دکترای
638,638,حرفهای
639,639,،
640,640,کارشناسی
641,641,ارشد
642,642,،
643,643,کارشناسی
644,644,پیوسته
645,645,و
646,646,ناپیوسته
647,647,و
648,648,کاردانی
649,649,پیوسته
650,650,و
651,651,ناپیوسته
652,652,است
653,653,.
654,654,رشته
655,655,-
656,656,گرایشها
657,657,و
658,658,مقاطع
659,659,تحصیلی
660,660,دانشگاه
661,661,آزاد
662,662,اسلامی
663,663,واحد
664,664,کرج
665,665,:
666,666,دکتری
667,667,تخصصی
668,668,زبان
669,669,و
670,670,ادبیات
671,671,فارسی
672,672,زبان
673,673,و
674,674,ادبیات
675,675,فارسی
676,676,-
677,677,ادبیات
678,678,عرفانی
679,679,زبان
680,680,و
681,681,ادبیات
682,682,عرب
683,683,زبان
684,684,و
685,685,ادبیات
686,686,انگلیسی
687,687,آموزش
688,688,زبان
689,689,انگلیسی
690,690,روانشناسی
691,691,عمومی
692,692,روانشناسی
693,693,سلامت
694,694,مدیریت
695,695,آموزشی
696,696,مدیریت
697,697,آموزش
698,698,عالی
699,699,حسابداری
700,700,مدیریت
701,701,صنعتی
702,702,–
703,703,مالی
704,704,مالی
705,705,–
706,706,مهندس
707,707,مالی
708,708,مدیریت
709,709,ورزشی
710,710,–
711,711,مدیریت
712,712,راهبردی
713,713,در
714,714,سازمانها
715,715,و
716,716,رویدادهای
717,717,ورزشی
718,718,مدیریت
719,719,ورزشی
720,720,–
721,721,مدیریت
722,722,بازاریابی
723,723,و
724,724,رسانهها
725,725,درورزش
726,726,فیزیولوژی
727,727,ورزشی
728,728,–
729,729,فیزیولوژی
730,730,ورزشی
731,731,عصبی
732,732,عضلانی
733,733,ریاضی
734,734,کاربردی
735,735,–
736,736,تحقیق
737,737,درعملیات
738,738,ریاضی
739,739,کاربردی
740,740,–
741,741,آنالیز
742,742,عددی
743,743,ریاضی
744,744,–
745,745,هندسه
746,746,(
747,747,توپولوژی
748,748,)
749,749,ریاضی
750,750,–
751,751,آنالیز
752,752,ریاضی
753,753,–
754,754,جبر
755,755,میکروبیولوژی
756,756,شیمی
757,757,–
758,758,شیمی
759,759,آلی
760,760,فیزیک
761,761,الهیات
762,762,و
763,763,معارف
764,764,اسلامی
765,765,–
766,766,علوم
767,767,قرآن
768,768,و
769,769,حدیث
770,770,الهیات
771,771,و
772,772,معارف
773,773,اسلامی
774,774,–
775,775,فلسفه
776,776,و
777,777,کلام
778,778,اسلامی
779,779,عرفان
780,780,اسلامی
781,781,و
782,782,اندیشههای
783,783,امام
784,784,خمینی
785,785,(
786,786,ره
787,787,)
788,788,مهندسی
789,789,برق
790,790,–
791,791,قدرت
792,792,مهندسی
793,793,کامپیوتر
794,794,-
795,795,سیستمهای
796,796,نرم
797,797,افزاری
798,798,مهندسی
799,799,متالورژی
800,800,ومواد
801,801,معماری
802,802,زراعت
803,803,ژنتیک
804,804,و
805,805,به
806,806,نژادی
807,807,گیاهی
808,808,اصلاح
809,809,نژاد
810,810,دام
811,811,تغذیه
812,812,دام
813,813,مهندسی
814,814,اقتصاد
815,815,کشاورزی
816,816,–
817,817,سیاست
818,818,و
819,819,توسعه
820,820,کشاورزی
821,821,مهندسی
822,822,اقتصاد
823,823,کشاورزی
824,824,–
825,825,بازاریابی
826,826,محصولات
827,827,کشاورزی
828,828,مهندسی
829,829,اقتصاد
830,830,کشاورزی
831,831,–
832,832,اقتصاد
833,833,منابع
834,834,طبیعی
835,835,ومحیط
836,836,زیست
837,837,مدیریت
838,838,منابع
839,839,خاک
840,840,علوم
841,841,و
842,842,مهندسی
843,843,باغبانی
844,844,–
845,845,فیزیولوژی
846,846,تولید
847,847,و
848,848,پس
849,849,از
850,850,برداشت
851,851,گیاهان
852,852,باغبانی
853,853,فرآوردههای
854,854,چند
855,855,سازه
856,856,چوب
857,857,صنایع
858,858,خمیر
859,859,و
860,860,کاغذ
861,861,انگلشناسی
862,862,دامپزشکی
863,863,جراحی
864,864,دامپزشکی
865,865,(
866,866,دستیاری
867,867,)
868,868,بهداشت
869,869,وبیماریهای
870,870,پرندگان
871,871,مامایی
872,872,و
873,873,بیماریهای
874,874,تولید
875,875,مثل
876,876,دام
877,877,(
878,878,دستیاری
879,879,)
880,880,حقوق
881,881,خصوصی
882,882,حقوق
883,883,کیفری
884,884,و
885,885,جرم
886,886,شناسی
887,887,حقوق
888,888,بینالملل
889,889,عمومی
890,890,روابط
891,891,بینالملل
892,892,علوم
893,893,سیاسی
894,894,–
895,895,اندیشههای
896,896,سیاسی
897,897,علوم
898,898,سیاسی
899,899,–
900,900,مسایٔل
901,901,ایران
902,902,دکتری
903,903,حرفهای
904,904,دامپزشکی
905,905,کارشناسی
906,906,ارشد
907,907,مهندسی
908,908,عمران
909,909,گرایش
910,910,مهندسی
911,911,و
912,912,مدیریت
913,913,ساخت
914,914,زبان
915,915,و
916,916,ادبیات
917,917,فارسی
918,918,زبان
919,919,و
920,920,ادبیات
921,921,عرب
922,922,زبان
923,923,وادبیات
924,924,انگلیسی
925,925,الهیات
926,926,و
927,927,معارف
928,928,ادیان
929,929,و
930,930,عرفان
931,931,الهیات
932,932,و
933,933,معارف
934,934,اسلامی
935,935,علوم
936,936,قران
937,937,وحدیث
938,938,الهیات
939,939,و
940,940,معارف
941,941,اسلامی
942,942,فقه
943,943,و
944,944,مبانی
945,945,حقوق
946,946,اسلامی
947,947,عرفان
948,948,اسلامی
949,949,الهیات
950,950,و
951,951,معارف
952,952,اسلامی
953,953,فلسفه
954,954,و
955,955,حکمت
956,956,اسلامی
957,957,روانشناسی
958,958,شخصیت
959,959,روابط
960,960,بینالملل
961,961,علوم
962,962,سیاسی
963,963,حقوق
964,964,جزا
965,965,و
966,966,جرم
967,967,شناسی
968,968,مدیرت
969,969,صنعتی
970,970,تولید
971,971,تربیت
972,972,بدنی
973,973,و
974,974,علوم
975,975,ورزشی
976,976,فیزیولوژی
977,977,ورزشی
978,978,تربیت
979,979,بدنی
980,980,و
981,981,علوم
982,982,ورزشی
983,983,مدیریت
984,984,ورزشی
985,985,تربیت
986,986,بدنی
987,987,و
988,988,علوم
989,989,ورزشی
990,990,بیومکانیک
991,991,ورزشی
992,992,تربیت
993,993,بدنی
994,994,و
995,995,علوم
996,996,ورزشی
997,997,رفتار
998,998,حرکتی
999,999,تربیت
1000,1000,بدنی
1001,1001,و
1002,1002,علوم
1003,1003,ورزشی
1004,1004,حرکات
1005,1005,اصلاحی
1006,1006,و
1007,1007,آسیب
1008,1008,شناسی
1009,1009,ورزشی
1010,1010,تربیت
1011,1011,بدنی
1012,1012,و
1013,1013,علوم
1014,1014,ورزشی
1015,1015,روانشناسی
1016,1016,ورزشی
1017,1017,ریاضی
1018,1018,کاربردی
1019,1019,تحقیق
1020,1020,در
1021,1021,عملیات
1022,1022,ریاضی
1023,1023,کاربردی
1024,1024,آنالیز
1025,1025,عددی
1026,1026,فیزیک
1027,1027,اتمی
1028,1028,ومولکولی
1029,1029,فیزیک
1030,1030,حالت
1031,1031,جامد
1032,1032,شیمی
1033,1033,شیمی
1034,1034,کاربردی
1035,1035,شیمی
1036,1036,شیمی
1037,1037,تجزیه
1038,1038,شیمی
1039,1039,شیمی
1040,1040,معدنی
1041,1041,شیمی
1042,1042,شیمی
1043,1043,آلی
1044,1044,زیست
1045,1045,شناسی
1046,1046,میکروبیولوژی
1047,1047,زیستشناسی
1048,1048,علوم
1049,1049,جانوری
1050,1050,گرایش
1051,1051,زیست
1052,1052,سلولی
1053,1053,و
1054,1054,تکوینی
1055,1055,م
1056,1056,صنایع
1057,1057,مدیریت
1058,1058,سیستم
1059,1059,و
1060,1060,بهره
1061,1061,وری
1062,1062,م
1063,1063,مکانیک
1064,1064,طراحی
1065,1065,کاربردی
1066,1066,م
1067,1067,مواد
1068,1068,شناسایی
1069,1069,و
1070,1070,انتخاب
1071,1071,مواد
1072,1072,مهندسی
1073,1073,م
1074,1074,کشاورزی
1075,1075,علوم
1076,1076,باغبانی
1077,1077,گرایش
1078,1078,بیوتکنولوژی
1079,1079,و
1080,1080,ژنتیک
1081,1081,مولکولی
1082,1082,محصولات
1083,1083,باغبانی
1084,1084,م
1085,1085,کشاورزی
1086,1086,علوم
1087,1087,و
1088,1088,تکنولوژی
1089,1089,بذر
1090,1090,م
1091,1091,کشاورزی
1092,1092,علوم
1093,1093,باغبانی
1094,1094,گرایش
1095,1095,فیزیولوژی
1096,1096,و
1097,1097,اصلاح
1098,1098,گیاهان
1099,1099,دارویی
1100,1100,ادویهای
1101,1101,و
1102,1102,عطری
1103,1103,م
1104,1104,کشاورزی
1105,1105,علوم
1106,1106,باغبانی
1107,1107,گرایش
1108,1108,فیزیولوژی
1109,1109,و
1110,1110,اصلاح
1111,1111,درختان
1112,1112,میوه
1113,1113,م
1114,1114,کشاورزی
1115,1115,علوم
1116,1116,باغبانی
1117,1117,گرایش
1118,1118,فیزیولوژی
1119,1119,و
1120,1120,اصلاح
1121,1121,سبزیها
1122,1122,م
1123,1123,کشاورزی
1124,1124,علوم
1125,1125,باغبانی
1126,1126,گرایش
1127,1127,فیزیولوژی
1128,1128,و
1129,1129,اصلاح
1130,1130,گل
1131,1131,و
1132,1132,گیاهان
1133,1133,زینتی
1134,1134,م
1135,1135,کشاورزی
1136,1136,علوم
1137,1137,باغبانی
1138,1138,گرایش
1139,1139,فیزیولوژی
1140,1140,و
1141,1141,فناوری
1142,1142,پس
1143,1143,از
1144,1144,برداشت
1145,1145,محصولات
1146,1146,باغبانی
1147,1147,م
1148,1148,کشاورزی
1149,1149,اقتصاد
1150,1150,کشاورزی
1151,1151,م
1152,1152,کشاورزی
