,Token,Index
0,,"[0, [1055, 1062, 1066, 1073, 1084, 1090, 1103, 1113, 1122, 1134, 1147, 1151, 1155, 1159, 1168, 1180, 1189, 1198, 1205, 1213, 1219, 1223, 1228, 1235]]"
1,(,"[1, [56, 64, 72, 92, 516, 616, 746, 785, 865, 877, 1844, 2498, 2963, 2970, 2977, 2984, 2991, 2999, 3018, 3024, 3030, 3038, 3046, 3078]]"
2,),"[2, [61, 69, 77, 97, 523, 625, 748, 787, 867, 879, 1848, 2501, 2967, 2974, 2981, 2988, 2995, 3002, 3021, 3027, 3033, 3041, 3060, 3090]]"
3,-,"[3, [655, 676, 794, 1390, 1394, 1399, 1402, 1406, 1415]]"
4,-تاکنون,"[4, [3001]]"
5,.,"[5, [165, 183, 210, 237, 262, 270, 312, 526, 653, 1443, 1477, 1522, 1594, 1653, 1726, 1773, 1796, 1815, 1865, 1893, 1906, 1929, 1961, 1986, 2022, 2055, 2070, 2081, 2102, 2240, 2280, 2308, 2319, 2339, 2361, 2385, 2424, 2487, 2524, 2561, 2603, 2627, 2669, 2703, 2808, 2862, 2897, 2922]]"
6,/,"[6, [135, 144]]"
7,:,"[7, [122, 555, 665, 2136, 3141, 3151, 3177]]"
8,;,"[8, [148]]"
9,[,"[9, [313]]"
10,],"[10, [315]]"
11,«,"[11, [1935, 3149]]"
12,°,"[12, [124, 130]]"
13,°شرق,"[13, [143]]"
14,°شمال,"[14, [139]]"
15,»,"[15, [1937]]"
16,،,"[16, [7, 161, 242, 288, 321, 331, 384, 386, 435, 484, 528, 606, 619, 621, 636, 639, 642, 1174, 1507, 1510, 1534, 1536, 1560, 1571, 1574, 1576, 1578, 1580, 1624, 1626, 1628, 1632, 1667, 1669, 1675, 1681, 1687, 1689, 1691, 1693, 1711, 1715, 1731, 1733, 1748, 1750, 1780, 1826, 1880, 1888, 2003, 2008, 2048, 2119, 2130, 2147, 2177, 2181, 2197, 2222, 2237, 2250, 2413, 2430, 2432, 2434, 2440, 2442, 2444, 2447, 2451, 2453, 2455, 2459, 2464, 2531, 2657, 2685, 2706, 2758, 2768, 2782, 2792, 2906, 2915, 3012, 3063, 3083]]"
17,؛,"[17, [249]]"
18,ابتدا,"[18, [1376, 1385]]"
19,ابراه,"[19, [51]]"
20,ابلاغ,"[20, [1763, 2651]]"
21,ابوالقاس,"[21, [3085]]"
22,اتم,"[22, [1027]]"
23,اتوبوس,"[23, [414, 2488, 2505, 2535]]"
24,اجتماع,"[24, [441, 1829, 2269, 2711, 2718, 2730, 2761, 2770, 2784]]"
25,اجرا,"[25, [1834, 2200]]"
26,احکا,"[26, [1688]]"
27,اد,"[27, [928]]"
28,ادار,"[28, [1533, 2184]]"
29,اداره,"[29, [2347]]"
30,ادب,"[30, [557, 670, 674, 677, 681, 685, 916, 920, 1244, 1251, 1255, 1579, 1609, 1613, 1647]]"
31,ادویه,"[31, [1100]]"
32,ارایٔه,"[32, [1502, 1561, 2109, 2120, 2848]]"
33,ارتباط,"[33, [2038, 2555]]"
34,ارتوپد,"[34, [2443]]"
35,اردو,"[35, [1665, 2170]]"
36,ارز,"[36, [2847]]"
37,ارزیاب,"[37, [1178]]"
38,ارشد,"[38, [86, 344, 641, 906]]"
39,از,"[39, [5, 110, 112, 231, 480, 503, 554, 849, 1143, 1527, 1656, 1753, 1766, 1803, 1837, 1920, 1957, 1999, 2061, 2090, 2103, 2153, 2169, 2190, 2262, 2379, 2510, 2546, 2616, 2644, 2696, 2802, 2857, 3111, 3148]]"
40,ازبررسی,"[40, [1867]]"
41,ازدواج,"[41, [1679, 2364, 2373]]"
42,اس,"[42, [59, 67, 75, 95, 162, 164, 192, 269, 274, 522, 551, 614, 652, 1437, 1463, 1476, 1498, 1593, 2101, 2279, 2318, 2338, 2423, 2470, 2560, 2602, 2612, 2702, 2727, 2757, 2807, 2878, 2896, 2921, 3007, 3154, 3169]]"
43,اساسنامه,"[43, [1745]]"
44,استاد,"[44, [239, 472, 1788, 2263, 2834, 2959]]"
45,استادن,"[45, [2414]]"
46,استفاده,"[46, [502, 2020, 2189, 2261, 2860]]"
47,اسلام,"[47, [2, 18, 23, 118, 154, 170, 191, 258, 273, 306, 423, 464, 538, 565, 613, 662, 764, 773, 778, 780, 934, 941, 946, 948, 952, 956, 1268, 1272, 1447, 1714, 2394, 2566, 2573, 2589, 2643, 2679, 2927, 2936, 2944, 3132, 3174]]"
48,اشاره,"[48, [1705, 2238]]"
49,اشتغال,"[49, [224]]"
50,اشتهارد,"[50, [3119]]"
51,اصل,"[51, [206]]"
52,اصلاح,"[52, [808, 1005, 1097, 1110, 1120, 1129, 1153, 1210, 1233]]"
53,اطلاع,"[53, [1492, 3181]]"
